일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/19","58600","-400","-0.68","59000","59100","58500","1086274","63792161600","26115485374200","445656747"
"2023/04/18","59000","-1100","-1.83","60200","60800","58900","1731564","102721053400","26293748073000","445656747"
"2023/04/17","60100","-400","-0.66","60200","60700","59600","1450046","86937510400","26783970494700","445656747"
"2023/04/14","60500","1000","1.68","60100","61000","59400","2464952","148540141200","26962233193500","445656747"
"2023/04/13","59500","800","1.36","58500","59600","58400","1591961","94220416400","26516576446500","445656747"
"2023/04/12","58700","-600","-1.01","59200","59300","58500","1486194","87328146000","26160051048900","445656747"
"2023/04/11","59300","1200","2.07","58100","60000","57500","2184527","128783407300","26427445097100","445656747"
"2023/04/10","58100","-500","-0.85","58300","58400","57100","2103339","121803152600","25892657000700","445656747"
"2023/04/07","58600","0","0.00","58600","59200","58100","1650319","96908486400","26115485374200","445656747"
"2023/04/06","58600","-1900","-3.14","60100","60100","58500","2659408","157063302300","26111481880800","445588428"
"2023/04/05","60500","-200","-0.33","60500","61200","60200","1227329","74432783200","26958099894000","445588428"
"2023/04/04","60700","500","0.83","60200","60800","59800","1380518","83243360400","27047217579600","445588428"
"2023/04/03","60200","-900","-1.47","61400","61600","59900","1683150","101977540800","26824423365600","445588428"
"2023/03/31","61100","1000","1.66","60600","61200","60000","1745559","105844517200","27225452950800","445588428"
"2023/03/30","60100","-300","-0.50","60800","60900","59900","1707493","102890206100","26779864522800","445588428"
"2023/03/29","60400","-300","-0.49","60800","61400","60100","1144119","69277549900","26913541051200","445588428"
"2023/03/28","60700","0","0.00","60600","61000","59900","1326335","80228639000","27047217579600","445588428"
"2023/03/27","60700","-700","-1.14","61500","61800","59800","1490567","89956811100","27047217579600","445588428"
"2023/03/24","61400","-200","-0.32","61600","61900","60900","1323550","81284141800","27359129479200","445588428"
"2023/03/23","61600","-1100","-1.75","61800","62000","60800","1685484","103499668400","27448247164800","445588428"
"2023/03/22","62700","1800","2.96","61700","62900","61300","2243729","139357650700","27938394435600","445588428"
"2023/03/21","60900","-100","-0.16","61400","61700","60500","1093952","66697154300","27136335265200","445588428"
"2023/03/20","61000","800","1.33","60200","62000","60200","2051491","125684683700","27180894108000","445588428"
"2023/03/17","60200","300","0.50","60600","61200","59800","1658486","100078998200","26824423365600","445588428"
"2023/03/16","59900","600","1.01","58400","60300","58100","1976894","117717547600","26690746837200","445588428"
"2023/03/15","59300","-100","-0.17","60600","60800","58800","1885060","112112496000","26423393780400","445588428"
"2023/03/14","59400","-1400","-2.30","60600","61100","59200","2192551","131392323000","26467952623200","445588428"
"2023/03/13","60800","2700","4.65","60300","62400","58800","5720123","346655744000","27091776422400","445588428"
"2023/03/10","58100","-900","-1.53","57900","58400","57500","2009728","116356860200","25888687666800","445588428"
"2023/03/09","59000","-100","-0.17","59700","60600","58900","1949722","115734943000","26285339275000","445514225"
"2023/03/08","59100","-2400","-3.90","61200","61200","59000","2935338","175392234100","26329890697500","445514225"
"2023/03/07","61500","-2100","-3.30","63000","63100","61400","2322926","143685730500","27399124837500","445514225"
"2023/03/06","63600","2600","4.26","61200","63800","61100","2768767","174494079400","28334704710000","445514225"
"2023/03/03","61000","-200","-0.33","61600","62200","60900","1250945","76693896900","27176367725000","445514225"
"2023/03/02","61200","-1200","-1.92","62200","62400","60800","1842975","113311765900","27265470570000","445514225"
"2023/02/28","62400","500","0.81","62000","63400","61900","1870108","116940741300","27800087640000","445514225"
"2023/02/27","61900","100","0.16","61400","62200","61000","1407458","86699232600","27577330527500","445514225"
"2023/02/24","61800","-700","-1.12","62500","62900","61600","1339514","83198042100","27532779105000","445514225"
"2023/02/23","62500","300","0.48","62600","63200","62200","1217488","76290124700","27844639062500","445514225"
"2023/02/22","62200","-900","-1.43","61900","63000","61500","1904538","118195143100","27710984795000","445514225"
"2023/02/21","63100","-1100","-1.71","64500","64700","63000","1644407","104303403900","28111947597500","445514225"
"2023/02/20","64200","900","1.42","63400","64500","62800","1424392","91211767400","28602013245000","445514225"
"2023/02/17","63300","-900","-1.40","63000","64400","62400","1584836","100536378000","28201050442500","445514225"
"2023/02/16","64200","600","0.94","64400","65200","63500","2542941","163549690100","28602013245000","445514225"
"2023/02/15","63600","-1400","-2.15","64600","64700","62600","2984239","188949128000","28334704710000","445514225"
"2023/02/14","65000","700","1.09","65400","66400","64800","2249182","147121701500","28958424625000","445514225"
"2023/02/13","64300","-3300","-4.88","66700","66800","64200","4298565","279650722800","28646564667500","445514225"
"2023/02/10","67600","-3300","-4.65","69200","70200","66300","5370780","365108720600","30116761610000","445514225"
"2023/02/09","70900","1800","2.60","67900","71300","67100","3602387","249623350700","31580539550100","445423689"
"2023/02/08","69100","1100","1.62","68500","69900","68200","3109216","214896341600","30778776909900","445423689"
"2023/02/07","68000","2800","4.29","65300","68800","64900","3026310","202988429800","30288810852000","445423689"
"2023/02/06","65200","-2000","-2.98","66500","67100","65200","2276799","150521681000","29041624522800","445423689"
"2023/02/03","67200","2700","4.19","64900","67500","64500","5019685","333913762500","29932471900800","445423689"
"2023/02/02","64500","2300","3.70","64400","65200","63700","2936610","189632851500","28729827940500","445423689"
"2023/02/01","62200","800","1.30","62000","62900","61400","1582425","98253414800","27705353455800","445423689"
"2023/01/31","61400","-2100","-3.31","62700","63500","61200","2394547","148714880400","27349014504600","445423689"
"2023/01/30","63500","-1200","-1.85","64800","65400","63200","1888795","120928770800","28284404251500","445423689"
"2023/01/27","64700","1000","1.57","64000","65500","63400","2588030","167027529500","28818912678300","445423689"
"2023/01/26","63700","1100","1.76","62800","63700","61700","1658008","104441184900","28373488989300","445423689"
"2023/01/25","62600","1400","2.29","62500","63800","62100","2018473","127016691905","27883522931400","445423689"
"2023/01/20","61200","400","0.66","60500","61900","60500","1376217","84068088400","27259929766800","445423689"
"2023/01/19","60800","-800","-1.30","61100","61400","60200","1687361","102489716100","27081760291200","445423689"
"2023/01/18","61600","-200","-0.32","61500","62500","61100","1650067","102002389400","27438099242400","445423689"
"2023/01/17","61800","-2700","-4.19","64500","64500","61400","3194397","200125461600","27527183980200","445423689"
"2023/01/16","64500","2500","4.03","62300","65000","62000","2989321","191286532100","28729827940500","445423689"
"2023/01/13","62000","500","0.81","62100","63000","61500","2248562","140061738400","27616268718000","445423689"
"2023/01/12","61500","-400","-0.65","63000","63400","61100","2197974","136105781700","27392738800500","445410387"
"2023/01/11","61900","1200","1.98","61700","62500","60800","2544430","157352280200","27570902955300","445410387"
